"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 02:12:11 UTC 2024","Mon Jun 17 02:12:33 UTC 2024","22066","tests.integration","test_tls","","","","test_connected_encryption","Test encryption when backend database is using TLS."
"passed","Mon Jun 17 02:10:56 UTC 2024","Mon Jun 17 02:13:37 UTC 2024","160329","tests.integration","test_exporter","","","","test_exporter_endpoint","Test that exporter endpoint is functional."
"passed","Mon Jun 17 02:13:37 UTC 2024","Mon Jun 17 02:14:46 UTC 2024","68730","tests.integration","test_exporter","","","","test_exporter_endpoint_with_tls","Test that the exporter endpoint works when related with TLS"
"passed","Mon Jun 17 02:10:27 UTC 2024","Mon Jun 17 02:12:11 UTC 2024","104253","tests.integration","test_tls","","","","test_build_deploy_and_relate","Test encryption when backend database is using TLS."
"passed","Mon Jun 17 02:16:07 UTC 2024","Mon Jun 17 02:19:34 UTC 2024","207113","tests.integration","test_upgrade","","","","test_fail_and_rollback","Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    "
"broken","Mon Jun 17 02:10:21 UTC 2024","Mon Jun 17 02:25:26 UTC 2024","905036","tests.integration","test_node_port","","","","test_build_and_deploy","Test the deployment of the charm."
"skipped","Mon Jun 17 02:25:26 UTC 2024","Mon Jun 17 02:25:26 UTC 2024","0","tests.integration","test_node_port","","","","test_data_integrator","Test the nodeport."
"skipped","Mon Jun 17 02:25:26 UTC 2024","Mon Jun 17 02:25:26 UTC 2024","0","tests.integration","test_node_port","","","","test_node_port_and_clusterip_setup","Test the nodeport."
"passed","Mon Jun 17 02:11:02 UTC 2024","Mon Jun 17 02:12:57 UTC 2024","115542","tests.integration","test_upgrade","","","","test_deploy_edge","Simple test to ensure that mysql, mysqlrouter and application charms deploy."
"passed","Mon Jun 17 02:12:57 UTC 2024","Mon Jun 17 02:16:07 UTC 2024","189803","tests.integration","test_upgrade","","","","test_upgrade_from_edge","Upgrade mysqlrouter while ensuring continuous writes incrementing."
"passed","Mon Jun 17 02:10:21 UTC 2024","Mon Jun 17 02:14:27 UTC 2024","246289","tests.integration","test_charm","","","","test_database_relation","Test the database relation."
"passed","Mon Jun 17 02:10:18 UTC 2024","Mon Jun 17 02:11:58 UTC 2024","100400","tests.integration","test_log_rotation","","","","test_log_rotation","Test log rotation."
"skipped","Mon Jun 17 02:25:26 UTC 2024","Mon Jun 17 02:25:26 UTC 2024","0","tests.integration","test_node_port","","","","test_tls","Test the database relation."
