"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test log rotation.","902327","test_log_rotation","tests.integration","Fri Sep 06 02:22:21 UTC 2024","broken","Fri Sep 06 02:37:23 UTC 2024","","test_log_rotation","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Fri Sep 06 02:37:33 UTC 2024","skipped","Fri Sep 06 02:37:33 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Fri Sep 06 02:37:33 UTC 2024","skipped","Fri Sep 06 02:37:33 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1503695","test_exporter_endpoint","tests.integration","Fri Sep 06 02:22:46 UTC 2024","broken","Fri Sep 06 02:47:50 UTC 2024","","test_exporter","",""
"Test the database relation.","","test_database_relation","tests.integration","","unknown","","","test_charm","",""
"Test the database relation.","0","test_tls","tests.integration","Fri Sep 06 02:37:33 UTC 2024","skipped","Fri Sep 06 02:37:33 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Fri Sep 06 02:37:53 UTC 2024","skipped","Fri Sep 06 02:37:53 UTC 2024","","test_tls","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","131002","test_deploy_edge","tests.integration","Fri Sep 06 02:22:30 UTC 2024","passed","Fri Sep 06 02:24:41 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","904402","test_build_and_deploy","tests.integration","Fri Sep 06 02:22:29 UTC 2024","broken","Fri Sep 06 02:37:33 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Fri Sep 06 02:30:03 UTC 2024","skipped","Fri Sep 06 02:30:03 UTC 2024","","test_upgrade","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322298","test_upgrade_from_edge","tests.integration","Fri Sep 06 02:24:41 UTC 2024","failed","Fri Sep 06 02:30:03 UTC 2024","","test_upgrade","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Fri Sep 06 02:47:50 UTC 2024","skipped","Fri Sep 06 02:47:50 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","905473","test_build_deploy_and_relate","tests.integration","Fri Sep 06 02:22:47 UTC 2024","broken","Fri Sep 06 02:37:53 UTC 2024","","test_tls","",""
