"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test log rotation.","902324","test_log_rotation","tests.integration","Sat Sep 21 02:23:12 UTC 2024","broken","Sat Sep 21 02:38:14 UTC 2024","","test_log_rotation","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1206196","test_upgrade_from_edge","tests.integration","Sat Sep 21 02:25:21 UTC 2024","broken","Sat Sep 21 02:45:27 UTC 2024","","test_upgrade","",""
"Test the database relation.","902146","test_database_relation","tests.integration","Sat Sep 21 02:23:18 UTC 2024","broken","Sat Sep 21 02:38:21 UTC 2024","","test_charm","",""
"Test the deployment of the charm.","904513","test_build_and_deploy","tests.integration","Sat Sep 21 02:23:36 UTC 2024","broken","Sat Sep 21 02:38:41 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sat Sep 21 02:45:27 UTC 2024","skipped","Sat Sep 21 02:45:27 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Sat Sep 21 02:38:41 UTC 2024","skipped","Sat Sep 21 02:38:41 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1503532","test_exporter_endpoint","tests.integration","Sat Sep 21 02:23:39 UTC 2024","broken","Sat Sep 21 02:48:43 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sat Sep 21 02:38:38 UTC 2024","skipped","Sat Sep 21 02:38:38 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sat Sep 21 02:38:41 UTC 2024","skipped","Sat Sep 21 02:38:41 UTC 2024","","test_node_port","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","122201","test_deploy_edge","tests.integration","Sat Sep 21 02:23:19 UTC 2024","passed","Sat Sep 21 02:25:21 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","903999","test_build_deploy_and_relate","tests.integration","Sat Sep 21 02:23:33 UTC 2024","broken","Sat Sep 21 02:38:37 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sat Sep 21 02:38:41 UTC 2024","skipped","Sat Sep 21 02:38:41 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sat Sep 21 02:48:43 UTC 2024","skipped","Sat Sep 21 02:48:43 UTC 2024","","test_exporter","",""
