"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test encryption when backend database is using TLS.","22070","test_connected_encryption","tests.integration","Thu Jul 18 02:16:17 UTC 2024","passed","Thu Jul 18 02:16:39 UTC 2024","","test_tls","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","326688","test_upgrade_from_edge","tests.integration","Thu Jul 18 02:16:51 UTC 2024","failed","Thu Jul 18 02:22:18 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Thu Jul 18 02:15:30 UTC 2024","skipped","Thu Jul 18 02:15:30 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","307459","test_exporter_endpoint","tests.integration","Thu Jul 18 02:14:33 UTC 2024","broken","Thu Jul 18 02:19:40 UTC 2024","","test_exporter","",""
"Test the deployment of the charm.","50767","test_build_and_deploy","tests.integration","Thu Jul 18 02:14:39 UTC 2024","broken","Thu Jul 18 02:15:30 UTC 2024","","test_node_port","",""
"Test the database relation.","251686","test_database_relation","tests.integration","Thu Jul 18 02:14:20 UTC 2024","passed","Thu Jul 18 02:18:31 UTC 2024","","test_charm","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","120397","test_deploy_edge","tests.integration","Thu Jul 18 02:14:51 UTC 2024","passed","Thu Jul 18 02:16:51 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Thu Jul 18 02:15:30 UTC 2024","skipped","Thu Jul 18 02:15:30 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","103931","test_build_deploy_and_relate","tests.integration","Thu Jul 18 02:14:33 UTC 2024","passed","Thu Jul 18 02:16:17 UTC 2024","","test_tls","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Thu Jul 18 02:22:18 UTC 2024","skipped","Thu Jul 18 02:22:18 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Thu Jul 18 02:15:30 UTC 2024","skipped","Thu Jul 18 02:15:30 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Thu Jul 18 02:19:40 UTC 2024","skipped","Thu Jul 18 02:19:40 UTC 2024","","test_exporter","",""
"Test log rotation.","107078","test_log_rotation","tests.integration","Thu Jul 18 02:14:35 UTC 2024","passed","Thu Jul 18 02:16:22 UTC 2024","","test_log_rotation","",""
