"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that exporter endpoint is functional.","1503915","test_exporter_endpoint","tests.integration","Mon Oct 07 02:29:32 UTC 2024","broken","Mon Oct 07 02:54:36 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Mon Oct 07 02:44:21 UTC 2024","skipped","Mon Oct 07 02:44:21 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Mon Oct 07 02:44:17 UTC 2024","skipped","Mon Oct 07 02:44:17 UTC 2024","","test_node_port","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","324639","test_upgrade_from_edge","tests.integration","Mon Oct 07 02:30:59 UTC 2024","failed","Mon Oct 07 02:36:24 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Mon Oct 07 02:44:17 UTC 2024","skipped","Mon Oct 07 02:44:17 UTC 2024","","test_node_port","",""
"Test the database relation.","902101","test_database_relation","tests.integration","Mon Oct 07 02:28:58 UTC 2024","broken","Mon Oct 07 02:44:00 UTC 2024","","test_charm","",""
"Test encryption when backend database is using TLS.","904572","test_build_deploy_and_relate","tests.integration","Mon Oct 07 02:29:16 UTC 2024","broken","Mon Oct 07 02:44:21 UTC 2024","","test_tls","",""
"Test log rotation.","902228","test_log_rotation","tests.integration","Mon Oct 07 02:29:17 UTC 2024","broken","Mon Oct 07 02:44:19 UTC 2024","","test_log_rotation","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","119184","test_deploy_edge","tests.integration","Mon Oct 07 02:29:00 UTC 2024","passed","Mon Oct 07 02:30:59 UTC 2024","","test_upgrade","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Mon Oct 07 02:36:24 UTC 2024","skipped","Mon Oct 07 02:36:24 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","904067","test_build_and_deploy","tests.integration","Mon Oct 07 02:29:13 UTC 2024","broken","Mon Oct 07 02:44:17 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Mon Oct 07 02:44:17 UTC 2024","skipped","Mon Oct 07 02:44:17 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Mon Oct 07 02:54:36 UTC 2024","skipped","Mon Oct 07 02:54:36 UTC 2024","","test_exporter","",""
