"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test encryption when backend database is using TLS.","905102","test_build_deploy_and_relate","tests.integration","Mon Sep 02 02:22:49 UTC 2024","broken","Mon Sep 02 02:37:55 UTC 2024","","test_tls","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Mon Sep 02 02:30:00 UTC 2024","skipped","Mon Sep 02 02:30:00 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Mon Sep 02 02:23:19 UTC 2024","skipped","Mon Sep 02 02:23:19 UTC 2024","","test_node_port","",""
"Test log rotation.","902135","test_log_rotation","tests.integration","Mon Sep 02 02:22:30 UTC 2024","broken","Mon Sep 02 02:37:33 UTC 2024","","test_log_rotation","",""
"Test the deployment of the charm.","39802","test_build_and_deploy","tests.integration","Mon Sep 02 02:22:39 UTC 2024","broken","Mon Sep 02 02:23:19 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Mon Sep 02 02:23:19 UTC 2024","skipped","Mon Sep 02 02:23:19 UTC 2024","","test_node_port","",""
"Test the database relation.","901948","test_database_relation","tests.integration","Mon Sep 02 02:22:36 UTC 2024","broken","Mon Sep 02 02:37:38 UTC 2024","","test_charm","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Mon Sep 02 02:47:56 UTC 2024","skipped","Mon Sep 02 02:47:56 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Mon Sep 02 02:37:55 UTC 2024","skipped","Mon Sep 02 02:37:55 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Mon Sep 02 02:23:19 UTC 2024","skipped","Mon Sep 02 02:23:19 UTC 2024","","test_node_port","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322560","test_upgrade_from_edge","tests.integration","Mon Sep 02 02:24:37 UTC 2024","failed","Mon Sep 02 02:30:00 UTC 2024","","test_upgrade","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","128525","test_deploy_edge","tests.integration","Mon Sep 02 02:22:29 UTC 2024","passed","Mon Sep 02 02:24:37 UTC 2024","","test_upgrade","",""
"Test that exporter endpoint is functional.","1502510","test_exporter_endpoint","tests.integration","Mon Sep 02 02:22:53 UTC 2024","broken","Mon Sep 02 02:47:56 UTC 2024","","test_exporter","",""
