"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sat Sep 28 02:40:19 UTC 2024","skipped","Sat Sep 28 02:40:19 UTC 2024","","test_tls","",""
"Test encryption when backend database is using TLS.","904371","test_build_deploy_and_relate","tests.integration","Sat Sep 28 02:25:14 UTC 2024","broken","Sat Sep 28 02:40:19 UTC 2024","","test_tls","",""
"Test that exporter endpoint is functional.","1502830","test_exporter_endpoint","tests.integration","Sat Sep 28 02:24:56 UTC 2024","broken","Sat Sep 28 02:49:59 UTC 2024","","test_exporter","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","122197","test_deploy_edge","tests.integration","Sat Sep 28 02:24:57 UTC 2024","passed","Sat Sep 28 02:27:00 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","903695","test_build_and_deploy","tests.integration","Sat Sep 28 02:24:41 UTC 2024","broken","Sat Sep 28 02:39:45 UTC 2024","","test_node_port","",""
"Test log rotation.","903326","test_log_rotation","tests.integration","Sat Sep 28 02:25:01 UTC 2024","broken","Sat Sep 28 02:40:04 UTC 2024","","test_log_rotation","",""
"Test the database relation.","0","test_tls","tests.integration","Sat Sep 28 02:39:45 UTC 2024","skipped","Sat Sep 28 02:39:45 UTC 2024","","test_node_port","",""
"Test the database relation.","902259","test_database_relation","tests.integration","Sat Sep 28 02:24:42 UTC 2024","broken","Sat Sep 28 02:39:44 UTC 2024","","test_charm","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","324687","test_upgrade_from_edge","tests.integration","Sat Sep 28 02:27:00 UTC 2024","failed","Sat Sep 28 02:32:24 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sat Sep 28 02:39:45 UTC 2024","skipped","Sat Sep 28 02:39:45 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sat Sep 28 02:49:59 UTC 2024","skipped","Sat Sep 28 02:49:59 UTC 2024","","test_exporter","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sat Sep 28 02:39:45 UTC 2024","skipped","Sat Sep 28 02:39:45 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sat Sep 28 02:32:24 UTC 2024","skipped","Sat Sep 28 02:32:24 UTC 2024","","test_upgrade","",""
