"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Mon Oct 21 02:44:43 UTC 2024","skipped","Mon Oct 21 02:44:43 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","904603","test_build_deploy_and_relate","tests.integration","Mon Oct 21 02:29:41 UTC 2024","broken","Mon Oct 21 02:44:45 UTC 2024","","test_tls","",""
"Test the database relation.","0","test_tls","tests.integration","Mon Oct 21 02:44:43 UTC 2024","skipped","Mon Oct 21 02:44:43 UTC 2024","","test_node_port","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","122122","test_deploy_edge","tests.integration","Mon Oct 21 02:29:51 UTC 2024","passed","Mon Oct 21 02:31:53 UTC 2024","","test_upgrade","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Mon Oct 21 02:51:58 UTC 2024","skipped","Mon Oct 21 02:51:58 UTC 2024","","test_upgrade","",""
"Test the database relation.","902211","test_database_relation","tests.integration","Mon Oct 21 02:29:20 UTC 2024","broken","Mon Oct 21 02:44:22 UTC 2024","","test_charm","",""
"Test log rotation.","902170","test_log_rotation","tests.integration","Mon Oct 21 02:29:35 UTC 2024","broken","Mon Oct 21 02:44:38 UTC 2024","","test_log_rotation","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1205190","test_upgrade_from_edge","tests.integration","Mon Oct 21 02:31:53 UTC 2024","broken","Mon Oct 21 02:51:58 UTC 2024","","test_upgrade","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Mon Oct 21 02:54:23 UTC 2024","skipped","Mon Oct 21 02:54:23 UTC 2024","","test_exporter","",""
"Test the deployment of the charm.","905092","test_build_and_deploy","tests.integration","Mon Oct 21 02:29:38 UTC 2024","broken","Mon Oct 21 02:44:43 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Mon Oct 21 02:44:43 UTC 2024","skipped","Mon Oct 21 02:44:43 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1502772","test_exporter_endpoint","tests.integration","Mon Oct 21 02:29:20 UTC 2024","broken","Mon Oct 21 02:54:23 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Mon Oct 21 02:44:45 UTC 2024","skipped","Mon Oct 21 02:44:45 UTC 2024","","test_tls","",""
