"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Jun 07 11:05:49 UTC 2024","Fri Jun 07 11:05:49 UTC 2024","0","tests.integration","test_upgrade","","","","test_fail_and_rollback","Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    "
"passed","Fri Jun 07 11:11:58 UTC 2024","Fri Jun 07 11:12:01 UTC 2024","3115","tests.integration","test_node_port","","","","test_data_integrator","Test the nodeport."
"passed","Fri Jun 07 11:09:11 UTC 2024","Fri Jun 07 11:11:16 UTC 2024","125597","tests.integration","test_upgrade","","","","test_deploy_edge","Simple test to ensure that mysql, mysqlrouter and application charms deploy."
"passed","Fri Jun 07 11:09:21 UTC 2024","Fri Jun 07 11:11:36 UTC 2024","135420","tests.integration","test_exporter","","","","test_exporter_endpoint","Test that exporter endpoint is functional."
"passed","Fri Jun 07 11:09:26 UTC 2024","Fri Jun 07 11:13:48 UTC 2024","261763","tests.integration","test_charm","","","","test_database_relation","Test the database relation."
"passed","Fri Jun 07 11:11:56 UTC 2024","Fri Jun 07 11:11:57 UTC 2024","1374","tests.integration","test_node_port","","","","test_tls","Test the database relation."
"passed","Fri Jun 07 11:09:02 UTC 2024","Fri Jun 07 11:10:40 UTC 2024","98266","tests.integration","test_log_rotation","","","","test_log_rotation","Test log rotation."
"passed","Fri Jun 07 11:11:17 UTC 2024","Fri Jun 07 11:11:39 UTC 2024","22195","tests.integration","test_tls","","","","test_connected_encryption","Test encryption when backend database is using TLS."
"unknown","Fri Jun 07 11:05:49 UTC 2024","Fri Jun 07 11:05:49 UTC 2024","0","tests.integration","test_upgrade","","","","test_upgrade_from_edge","Upgrade mysqlrouter while ensuring continuous writes incrementing."
"passed","Fri Jun 07 11:11:57 UTC 2024","Fri Jun 07 11:11:58 UTC 2024","399","tests.integration","test_node_port","","","","test_node_port_and_clusterip_setup","Test the nodeport."
"passed","Fri Jun 07 11:09:07 UTC 2024","Fri Jun 07 11:11:56 UTC 2024","169201","tests.integration","test_node_port","","","","test_build_and_deploy","Test the deployment of the charm."
"passed","Fri Jun 07 11:11:36 UTC 2024","Fri Jun 07 11:12:46 UTC 2024","69627","tests.integration","test_exporter","","","","test_exporter_endpoint_with_tls","Test that the exporter endpoint works when related with TLS"
"passed","Fri Jun 07 11:09:40 UTC 2024","Fri Jun 07 11:11:17 UTC 2024","96737","tests.integration","test_tls","","","","test_build_deploy_and_relate","Test encryption when backend database is using TLS."
