"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sun Sep 01 02:46:42 UTC 2024","skipped","Sun Sep 01 02:46:42 UTC 2024","","test_upgrade","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sun Sep 01 02:59:03 UTC 2024","skipped","Sun Sep 01 02:59:03 UTC 2024","","test_exporter","",""
"Test the deployment of the charm.","903411","test_build_and_deploy","tests.integration","Sun Sep 01 02:33:54 UTC 2024","broken","Sun Sep 01 02:48:57 UTC 2024","","test_node_port","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322369","test_upgrade_from_edge","tests.integration","Sun Sep 01 02:41:19 UTC 2024","failed","Sun Sep 01 02:46:42 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sun Sep 01 02:48:57 UTC 2024","skipped","Sun Sep 01 02:48:57 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","903981","test_build_deploy_and_relate","tests.integration","Sun Sep 01 02:33:56 UTC 2024","broken","Sun Sep 01 02:49:00 UTC 2024","","test_tls","",""
"Test the database relation.","0","test_tls","tests.integration","Sun Sep 01 02:48:57 UTC 2024","skipped","Sun Sep 01 02:48:57 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sun Sep 01 02:49:00 UTC 2024","skipped","Sun Sep 01 02:49:00 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sun Sep 01 02:48:57 UTC 2024","skipped","Sun Sep 01 02:48:57 UTC 2024","","test_node_port","",""
"Test the database relation.","902121","test_database_relation","tests.integration","Sun Sep 01 02:33:35 UTC 2024","broken","Sun Sep 01 02:48:37 UTC 2024","","test_charm","",""
"Test that exporter endpoint is functional.","1506757","test_exporter_endpoint","tests.integration","Sun Sep 01 02:33:56 UTC 2024","broken","Sun Sep 01 02:59:03 UTC 2024","","test_exporter","",""
"Test log rotation.","902497","test_log_rotation","tests.integration","Sun Sep 01 02:33:53 UTC 2024","broken","Sun Sep 01 02:48:56 UTC 2024","","test_log_rotation","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","123350","test_deploy_edge","tests.integration","Sun Sep 01 02:39:16 UTC 2024","passed","Sun Sep 01 02:41:19 UTC 2024","","test_upgrade","",""
