"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test log rotation.","902261","test_log_rotation","tests.integration","Wed Nov 27 02:33:26 UTC 2024","broken","Wed Nov 27 02:48:28 UTC 2024","","test_log_rotation","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Wed Nov 27 02:48:44 UTC 2024","skipped","Wed Nov 27 02:48:44 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1502593","test_exporter_endpoint","tests.integration","Wed Nov 27 02:33:24 UTC 2024","broken","Wed Nov 27 02:58:26 UTC 2024","","test_exporter","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322460","test_upgrade_from_edge","tests.integration","Wed Nov 27 02:35:57 UTC 2024","failed","Wed Nov 27 02:41:20 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","904281","test_build_and_deploy","tests.integration","Wed Nov 27 02:33:40 UTC 2024","broken","Wed Nov 27 02:48:44 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Wed Nov 27 02:48:58 UTC 2024","skipped","Wed Nov 27 02:48:58 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Wed Nov 27 02:48:44 UTC 2024","skipped","Wed Nov 27 02:48:44 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","905586","test_build_deploy_and_relate","tests.integration","Wed Nov 27 02:33:52 UTC 2024","broken","Wed Nov 27 02:48:58 UTC 2024","","test_tls","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Wed Nov 27 02:41:20 UTC 2024","skipped","Wed Nov 27 02:41:20 UTC 2024","","test_upgrade","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Wed Nov 27 02:58:26 UTC 2024","skipped","Wed Nov 27 02:58:26 UTC 2024","","test_exporter","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","124446","test_deploy_edge","tests.integration","Wed Nov 27 02:33:53 UTC 2024","passed","Wed Nov 27 02:35:57 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Wed Nov 27 02:48:44 UTC 2024","skipped","Wed Nov 27 02:48:44 UTC 2024","","test_node_port","",""
"Test the database relation.","902418","test_database_relation","tests.integration","Wed Nov 27 02:33:20 UTC 2024","broken","Wed Nov 27 02:48:22 UTC 2024","","test_charm","",""
