"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the nodeport.","0","test_data_integrator","tests.integration","Sun Aug 04 02:32:12 UTC 2024","skipped","Sun Aug 04 02:32:12 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sun Aug 04 02:42:33 UTC 2024","skipped","Sun Aug 04 02:42:33 UTC 2024","","test_exporter","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sun Aug 04 02:32:12 UTC 2024","skipped","Sun Aug 04 02:32:12 UTC 2024","","test_node_port","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","56821","test_deploy_edge","tests.integration","Sun Aug 04 02:17:32 UTC 2024","broken","Sun Aug 04 02:18:29 UTC 2024","","test_upgrade","",""
"Test that exporter endpoint is functional.","1502898","test_exporter_endpoint","tests.integration","Sun Aug 04 02:17:30 UTC 2024","broken","Sun Aug 04 02:42:32 UTC 2024","","test_exporter","",""
"Test log rotation.","902063","test_log_rotation","tests.integration","Sun Aug 04 02:18:39 UTC 2024","broken","Sun Aug 04 02:33:41 UTC 2024","","test_log_rotation","",""
"Test encryption when backend database is using TLS.","904361","test_build_deploy_and_relate","tests.integration","Sun Aug 04 02:17:17 UTC 2024","broken","Sun Aug 04 02:32:22 UTC 2024","","test_tls","",""
"Test the database relation.","902784","test_database_relation","tests.integration","Sun Aug 04 02:17:28 UTC 2024","broken","Sun Aug 04 02:32:31 UTC 2024","","test_charm","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","0","test_upgrade_from_edge","tests.integration","Sun Aug 04 02:18:29 UTC 2024","skipped","Sun Aug 04 02:18:29 UTC 2024","","test_upgrade","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sun Aug 04 02:18:29 UTC 2024","skipped","Sun Aug 04 02:18:29 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Sun Aug 04 02:32:12 UTC 2024","skipped","Sun Aug 04 02:32:12 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sun Aug 04 02:32:22 UTC 2024","skipped","Sun Aug 04 02:32:22 UTC 2024","","test_tls","",""
"Test the deployment of the charm.","903159","test_build_and_deploy","tests.integration","Sun Aug 04 02:17:09 UTC 2024","broken","Sun Aug 04 02:32:12 UTC 2024","","test_node_port","",""
