"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sat Aug 24 02:30:57 UTC 2024","skipped","Sat Aug 24 02:30:57 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sat Aug 24 02:23:05 UTC 2024","skipped","Sat Aug 24 02:23:05 UTC 2024","","test_upgrade","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","122148","test_deploy_edge","tests.integration","Sat Aug 24 02:15:40 UTC 2024","passed","Sat Aug 24 02:17:43 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sat Aug 24 02:30:53 UTC 2024","skipped","Sat Aug 24 02:30:53 UTC 2024","","test_tls","",""
"Test that exporter endpoint is functional.","1503166","test_exporter_endpoint","tests.integration","Sat Aug 24 02:15:41 UTC 2024","broken","Sat Aug 24 02:40:45 UTC 2024","","test_exporter","",""
"Test the deployment of the charm.","904769","test_build_and_deploy","tests.integration","Sat Aug 24 02:15:52 UTC 2024","broken","Sat Aug 24 02:30:57 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","906491","test_build_deploy_and_relate","tests.integration","Sat Aug 24 02:15:47 UTC 2024","broken","Sat Aug 24 02:30:53 UTC 2024","","test_tls","",""
"Test log rotation.","902806","test_log_rotation","tests.integration","Sat Aug 24 02:15:51 UTC 2024","broken","Sat Aug 24 02:30:54 UTC 2024","","test_log_rotation","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322218","test_upgrade_from_edge","tests.integration","Sat Aug 24 02:17:43 UTC 2024","failed","Sat Aug 24 02:23:05 UTC 2024","","test_upgrade","",""
"Test the database relation.","901952","test_database_relation","tests.integration","Sat Aug 24 02:15:28 UTC 2024","broken","Sat Aug 24 02:30:30 UTC 2024","","test_charm","",""
"Test the database relation.","0","test_tls","tests.integration","Sat Aug 24 02:30:57 UTC 2024","skipped","Sat Aug 24 02:30:57 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sat Aug 24 02:30:57 UTC 2024","skipped","Sat Aug 24 02:30:57 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sat Aug 24 02:40:45 UTC 2024","skipped","Sat Aug 24 02:40:45 UTC 2024","","test_exporter","",""
