"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1207199","test_upgrade_from_edge","tests.integration","Mon Aug 19 02:20:58 UTC 2024","broken","Mon Aug 19 02:41:05 UTC 2024","","test_upgrade","",""
"Test that exporter endpoint is functional.","1504011","test_exporter_endpoint","tests.integration","Mon Aug 19 02:19:08 UTC 2024","broken","Mon Aug 19 02:44:12 UTC 2024","","test_exporter","",""
"Test the database relation.","0","test_tls","tests.integration","Mon Aug 19 02:34:05 UTC 2024","skipped","Mon Aug 19 02:34:05 UTC 2024","","test_node_port","",""
"Test log rotation.","903079","test_log_rotation","tests.integration","Mon Aug 19 02:18:58 UTC 2024","broken","Mon Aug 19 02:34:01 UTC 2024","","test_log_rotation","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Mon Aug 19 02:41:05 UTC 2024","skipped","Mon Aug 19 02:41:05 UTC 2024","","test_upgrade","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","130238","test_deploy_edge","tests.integration","Mon Aug 19 02:18:47 UTC 2024","passed","Mon Aug 19 02:20:58 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","905200","test_build_and_deploy","tests.integration","Mon Aug 19 02:18:59 UTC 2024","broken","Mon Aug 19 02:34:05 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Mon Aug 19 02:34:05 UTC 2024","skipped","Mon Aug 19 02:34:05 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Mon Aug 19 02:34:05 UTC 2024","skipped","Mon Aug 19 02:34:05 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Mon Aug 19 02:33:45 UTC 2024","skipped","Mon Aug 19 02:33:45 UTC 2024","","test_tls","",""
"Test encryption when backend database is using TLS.","904146","test_build_deploy_and_relate","tests.integration","Mon Aug 19 02:18:40 UTC 2024","broken","Mon Aug 19 02:33:45 UTC 2024","","test_tls","",""
"Test the database relation.","902730","test_database_relation","tests.integration","Mon Aug 19 02:19:08 UTC 2024","broken","Mon Aug 19 02:34:11 UTC 2024","","test_charm","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Mon Aug 19 02:44:12 UTC 2024","skipped","Mon Aug 19 02:44:12 UTC 2024","","test_exporter","",""
