"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Tue Sep 24 02:52:40 UTC 2024","skipped","Tue Sep 24 02:52:40 UTC 2024","","test_exporter","",""
"Test log rotation.","907715","test_log_rotation","tests.integration","Tue Sep 24 02:27:14 UTC 2024","broken","Tue Sep 24 02:42:22 UTC 2024","","test_log_rotation","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Tue Sep 24 02:42:16 UTC 2024","skipped","Tue Sep 24 02:42:16 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Tue Sep 24 02:27:44 UTC 2024","skipped","Tue Sep 24 02:27:44 UTC 2024","","test_upgrade","",""
"Test the database relation.","902921","test_database_relation","tests.integration","Tue Sep 24 02:27:42 UTC 2024","broken","Tue Sep 24 02:42:45 UTC 2024","","test_charm","",""
"Test encryption when backend database is using TLS.","57275","test_build_deploy_and_relate","tests.integration","Tue Sep 24 02:27:34 UTC 2024","broken","Tue Sep 24 02:28:31 UTC 2024","","test_tls","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Tue Sep 24 02:28:31 UTC 2024","skipped","Tue Sep 24 02:28:31 UTC 2024","","test_tls","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","0","test_upgrade_from_edge","tests.integration","Tue Sep 24 02:27:44 UTC 2024","skipped","Tue Sep 24 02:27:44 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","903230","test_build_and_deploy","tests.integration","Tue Sep 24 02:27:13 UTC 2024","broken","Tue Sep 24 02:42:16 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1503294","test_exporter_endpoint","tests.integration","Tue Sep 24 02:27:37 UTC 2024","broken","Tue Sep 24 02:52:40 UTC 2024","","test_exporter","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","33375","test_deploy_edge","tests.integration","Tue Sep 24 02:27:11 UTC 2024","broken","Tue Sep 24 02:27:44 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Tue Sep 24 02:42:16 UTC 2024","skipped","Tue Sep 24 02:42:16 UTC 2024","","test_node_port","",""
"Test the database relation.","0","test_tls","tests.integration","Tue Sep 24 02:42:16 UTC 2024","skipped","Tue Sep 24 02:42:16 UTC 2024","","test_node_port","",""
