"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","131686","test_deploy_edge","tests.integration","Sun Sep 08 02:27:22 UTC 2024","passed","Sun Sep 08 02:29:33 UTC 2024","","test_upgrade","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322177","test_upgrade_from_edge","tests.integration","Sun Sep 08 02:29:33 UTC 2024","failed","Sun Sep 08 02:34:55 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","904822","test_build_and_deploy","tests.integration","Sun Sep 08 02:27:20 UTC 2024","broken","Sun Sep 08 02:42:25 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sun Sep 08 02:42:29 UTC 2024","skipped","Sun Sep 08 02:42:29 UTC 2024","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sun Sep 08 02:52:26 UTC 2024","skipped","Sun Sep 08 02:52:26 UTC 2024","","test_exporter","",""
"Test that exporter endpoint is functional.","1504098","test_exporter_endpoint","tests.integration","Sun Sep 08 02:27:22 UTC 2024","broken","Sun Sep 08 02:52:26 UTC 2024","","test_exporter","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sun Sep 08 02:34:55 UTC 2024","skipped","Sun Sep 08 02:34:55 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","904758","test_build_deploy_and_relate","tests.integration","Sun Sep 08 02:27:25 UTC 2024","broken","Sun Sep 08 02:42:29 UTC 2024","","test_tls","",""
"Test the database relation.","0","test_tls","tests.integration","Sun Sep 08 02:42:25 UTC 2024","skipped","Sun Sep 08 02:42:25 UTC 2024","","test_node_port","",""
"Test the database relation.","902355","test_database_relation","tests.integration","Sun Sep 08 02:27:09 UTC 2024","broken","Sun Sep 08 02:42:11 UTC 2024","","test_charm","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sun Sep 08 02:42:25 UTC 2024","skipped","Sun Sep 08 02:42:25 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sun Sep 08 02:42:25 UTC 2024","skipped","Sun Sep 08 02:42:25 UTC 2024","","test_node_port","",""
"Test log rotation.","902367","test_log_rotation","tests.integration","Sun Sep 08 02:26:59 UTC 2024","broken","Sun Sep 08 02:42:01 UTC 2024","","test_log_rotation","",""
