"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the nodeport.","0","test_data_integrator","tests.integration","Tue Dec 17 02:49:13 UTC 2024","skipped","Tue Dec 17 02:49:13 UTC 2024","","test_node_port","",""
"Test the database relation.","902535","test_database_relation","tests.integration","Tue Dec 17 02:34:05 UTC 2024","broken","Tue Dec 17 02:49:08 UTC 2024","","test_charm","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Tue Dec 17 02:49:12 UTC 2024","skipped","Tue Dec 17 02:49:12 UTC 2024","","test_tls","",""
"Test log rotation.","902250","test_log_rotation","tests.integration","Tue Dec 17 02:33:56 UTC 2024","broken","Tue Dec 17 02:48:58 UTC 2024","","test_log_rotation","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Tue Dec 17 02:41:41 UTC 2024","skipped","Tue Dec 17 02:41:41 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","904482","test_build_deploy_and_relate","tests.integration","Tue Dec 17 02:34:07 UTC 2024","broken","Tue Dec 17 02:49:12 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Tue Dec 17 02:49:13 UTC 2024","skipped","Tue Dec 17 02:49:13 UTC 2024","","test_node_port","",""
"Test the deployment of the charm.","904562","test_build_and_deploy","tests.integration","Tue Dec 17 02:34:08 UTC 2024","broken","Tue Dec 17 02:49:13 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1503047","test_exporter_endpoint","tests.integration","Tue Dec 17 02:33:58 UTC 2024","broken","Tue Dec 17 02:59:01 UTC 2024","","test_exporter","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322836","test_upgrade_from_edge","tests.integration","Tue Dec 17 02:36:18 UTC 2024","failed","Tue Dec 17 02:41:40 UTC 2024","","test_upgrade","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","128693","test_deploy_edge","tests.integration","Tue Dec 17 02:34:09 UTC 2024","passed","Tue Dec 17 02:36:18 UTC 2024","","test_upgrade","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Tue Dec 17 02:59:01 UTC 2024","skipped","Tue Dec 17 02:59:01 UTC 2024","","test_exporter","",""
"Test the database relation.","0","test_tls","tests.integration","Tue Dec 17 02:49:13 UTC 2024","skipped","Tue Dec 17 02:49:13 UTC 2024","","test_node_port","",""
