"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that exporter endpoint is functional.","1502614","test_exporter_endpoint","tests.integration","Sat Sep 07 02:19:15 UTC 2024","broken","Sat Sep 07 02:44:17 UTC 2024","","test_exporter","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sat Sep 07 02:34:42 UTC 2024","skipped","Sat Sep 07 02:34:42 UTC 2024","","test_node_port","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","125912","test_deploy_edge","tests.integration","Sat Sep 07 02:19:39 UTC 2024","passed","Sat Sep 07 02:21:45 UTC 2024","","test_upgrade","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sat Sep 07 02:41:50 UTC 2024","skipped","Sat Sep 07 02:41:50 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","904844","test_build_and_deploy","tests.integration","Sat Sep 07 02:19:37 UTC 2024","broken","Sat Sep 07 02:34:42 UTC 2024","","test_node_port","",""
"Test the database relation.","0","test_tls","tests.integration","Sat Sep 07 02:34:42 UTC 2024","skipped","Sat Sep 07 02:34:42 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sat Sep 07 02:34:42 UTC 2024","skipped","Sat Sep 07 02:34:42 UTC 2024","","test_node_port","",""
"Test the database relation.","902286","test_database_relation","tests.integration","Sat Sep 07 02:19:55 UTC 2024","broken","Sat Sep 07 02:34:58 UTC 2024","","test_charm","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sat Sep 07 02:34:46 UTC 2024","skipped","Sat Sep 07 02:34:46 UTC 2024","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sat Sep 07 02:44:17 UTC 2024","skipped","Sat Sep 07 02:44:17 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","905446","test_build_deploy_and_relate","tests.integration","Sat Sep 07 02:19:41 UTC 2024","broken","Sat Sep 07 02:34:46 UTC 2024","","test_tls","",""
"Test log rotation.","902034","test_log_rotation","tests.integration","Sat Sep 07 02:19:07 UTC 2024","broken","Sat Sep 07 02:34:09 UTC 2024","","test_log_rotation","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1205193","test_upgrade_from_edge","tests.integration","Sat Sep 07 02:21:45 UTC 2024","broken","Sat Sep 07 02:41:50 UTC 2024","","test_upgrade","",""
