"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test log rotation.","902412","test_log_rotation","tests.integration","Thu Sep 19 02:23:09 UTC 2024","broken","Thu Sep 19 02:38:12 UTC 2024","","test_log_rotation","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Thu Sep 19 02:38:23 UTC 2024","skipped","Thu Sep 19 02:38:23 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Thu Sep 19 02:38:23 UTC 2024","skipped","Thu Sep 19 02:38:23 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","904726","test_build_deploy_and_relate","tests.integration","Thu Sep 19 02:23:08 UTC 2024","broken","Thu Sep 19 02:38:13 UTC 2024","","test_tls","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Thu Sep 19 02:38:13 UTC 2024","skipped","Thu Sep 19 02:38:13 UTC 2024","","test_tls","",""
"Test the database relation.","0","test_tls","tests.integration","Thu Sep 19 02:38:23 UTC 2024","skipped","Thu Sep 19 02:38:23 UTC 2024","","test_node_port","",""
"Test the deployment of the charm.","903907","test_build_and_deploy","tests.integration","Thu Sep 19 02:23:19 UTC 2024","broken","Thu Sep 19 02:38:23 UTC 2024","","test_node_port","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1205247","test_upgrade_from_edge","tests.integration","Thu Sep 19 02:25:17 UTC 2024","broken","Thu Sep 19 02:45:23 UTC 2024","","test_upgrade","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Thu Sep 19 02:45:23 UTC 2024","skipped","Thu Sep 19 02:45:23 UTC 2024","","test_upgrade","",""
"Test the database relation.","903190","test_database_relation","tests.integration","Thu Sep 19 02:23:34 UTC 2024","broken","Thu Sep 19 02:38:37 UTC 2024","","test_charm","",""
"Test that exporter endpoint is functional.","1502546","test_exporter_endpoint","tests.integration","Thu Sep 19 02:22:57 UTC 2024","broken","Thu Sep 19 02:48:00 UTC 2024","","test_exporter","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Thu Sep 19 02:48:00 UTC 2024","skipped","Thu Sep 19 02:48:00 UTC 2024","","test_exporter","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","135990","test_deploy_edge","tests.integration","Thu Sep 19 02:23:01 UTC 2024","passed","Thu Sep 19 02:25:17 UTC 2024","","test_upgrade","",""
