"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Tue Sep 10 02:38:23 UTC 2024","skipped","Tue Sep 10 02:38:23 UTC 2024","","test_node_port","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1205213","test_upgrade_from_edge","tests.integration","Tue Sep 10 02:25:17 UTC 2024","broken","Tue Sep 10 02:45:22 UTC 2024","","test_upgrade","",""
"Test log rotation.","903290","test_log_rotation","tests.integration","Tue Sep 10 02:23:33 UTC 2024","broken","Tue Sep 10 02:38:36 UTC 2024","","test_log_rotation","",""
"Test encryption when backend database is using TLS.","904522","test_build_deploy_and_relate","tests.integration","Tue Sep 10 02:23:05 UTC 2024","broken","Tue Sep 10 02:38:09 UTC 2024","","test_tls","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Tue Sep 10 02:45:22 UTC 2024","skipped","Tue Sep 10 02:45:22 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Tue Sep 10 02:38:09 UTC 2024","skipped","Tue Sep 10 02:38:09 UTC 2024","","test_tls","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","125299","test_deploy_edge","tests.integration","Tue Sep 10 02:23:12 UTC 2024","passed","Tue Sep 10 02:25:17 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Tue Sep 10 02:38:23 UTC 2024","skipped","Tue Sep 10 02:38:23 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Tue Sep 10 02:47:59 UTC 2024","skipped","Tue Sep 10 02:47:59 UTC 2024","","test_exporter","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Tue Sep 10 02:38:23 UTC 2024","skipped","Tue Sep 10 02:38:23 UTC 2024","","test_node_port","",""
"Test the database relation.","903099","test_database_relation","tests.integration","Tue Sep 10 02:23:24 UTC 2024","broken","Tue Sep 10 02:38:28 UTC 2024","","test_charm","",""
"Test that exporter endpoint is functional.","1502455","test_exporter_endpoint","tests.integration","Tue Sep 10 02:22:57 UTC 2024","broken","Tue Sep 10 02:47:59 UTC 2024","","test_exporter","",""
"Test the deployment of the charm.","904961","test_build_and_deploy","tests.integration","Tue Sep 10 02:23:18 UTC 2024","broken","Tue Sep 10 02:38:23 UTC 2024","","test_node_port","",""
