"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tries deploying an arm64 charm on amd64 host.","49430","test_arm_charm_on_amd_host","tests.integration","Sat Feb 15 02:23:18 UTC 2025","passed","Sat Feb 15 02:24:07 UTC 2025","","test_architecture","",""
"Test log rotation.","112816","test_log_rotation","tests.integration","Sat Feb 15 02:23:15 UTC 2025","passed","Sat Feb 15 02:25:08 UTC 2025","","test_log_rotation","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","122469","test_deploy_edge","tests.integration","Sat Feb 15 02:23:15 UTC 2025","passed","Sat Feb 15 02:25:17 UTC 2025","","test_upgrade","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","Sat Feb 15 02:24:07 UTC 2025","skipped","Sat Feb 15 02:24:07 UTC 2025","","test_architecture","",""
"Test encryption when backend database is using TLS.","22244","test_connected_encryption","tests.integration","Sat Feb 15 02:25:29 UTC 2025","passed","Sat Feb 15 02:25:51 UTC 2025","","test_tls","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","177169","test_upgrade_from_edge","tests.integration","Sat Feb 15 02:25:17 UTC 2025","passed","Sat Feb 15 02:28:14 UTC 2025","","test_upgrade","",""
"Test that exporter endpoint is functional.","141949","test_exporter_endpoint","tests.integration","Sat Feb 15 02:23:15 UTC 2025","passed","Sat Feb 15 02:25:37 UTC 2025","","test_exporter","",""
"Test endpoints when mysql-router-k8s is related to a TLS operator.","125220","test_expose_external_with_tls","tests.integration","Sat Feb 15 02:25:37 UTC 2025","passed","Sat Feb 15 02:27:42 UTC 2025","","test_expose_external","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","194105","test_fail_and_rollback","tests.integration","Sat Feb 15 02:28:14 UTC 2025","passed","Sat Feb 15 02:31:28 UTC 2025","","test_upgrade","",""
"Test the expose-external config option.","142643","test_expose_external","tests.integration","Sat Feb 15 02:23:14 UTC 2025","passed","Sat Feb 15 02:25:37 UTC 2025","","test_expose_external","",""
"Test that the exporter endpoint works when related with TLS","196665","test_exporter_endpoint","tests.integration","Sat Feb 15 02:23:49 UTC 2025","passed","Sat Feb 15 02:27:06 UTC 2025","","test_exporter_with_tls","",""
"Test encryption when backend database is using TLS.","108043","test_deploy_and_relate","tests.integration","Sat Feb 15 02:23:41 UTC 2025","passed","Sat Feb 15 02:25:29 UTC 2025","","test_tls","",""
"Test the database relation.","518582","test_database_relation","tests.integration","Sat Feb 15 02:23:00 UTC 2025","passed","Sat Feb 15 02:31:39 UTC 2025","","test_charm","",""
