"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that exporter endpoint is functional.","1503122","test_exporter_endpoint","tests.integration","Tue Dec 03 02:34:49 UTC 2024","broken","Tue Dec 03 02:59:53 UTC 2024","","test_exporter","",""
"Test log rotation.","902416","test_log_rotation","tests.integration","Tue Dec 03 02:34:50 UTC 2024","broken","Tue Dec 03 02:49:52 UTC 2024","","test_log_rotation","",""
"Test the database relation.","903355","test_database_relation","tests.integration","Tue Dec 03 02:35:09 UTC 2024","broken","Tue Dec 03 02:50:13 UTC 2024","","test_charm","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Tue Dec 03 02:49:47 UTC 2024","skipped","Tue Dec 03 02:49:47 UTC 2024","","test_tls","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322216","test_upgrade_from_edge","tests.integration","Tue Dec 03 02:36:54 UTC 2024","failed","Tue Dec 03 02:42:16 UTC 2024","","test_upgrade","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Tue Dec 03 02:42:16 UTC 2024","skipped","Tue Dec 03 02:42:16 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Tue Dec 03 02:49:46 UTC 2024","skipped","Tue Dec 03 02:49:46 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Tue Dec 03 02:49:46 UTC 2024","skipped","Tue Dec 03 02:49:46 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","904074","test_build_deploy_and_relate","tests.integration","Tue Dec 03 02:34:43 UTC 2024","broken","Tue Dec 03 02:49:47 UTC 2024","","test_tls","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","133561","test_deploy_edge","tests.integration","Tue Dec 03 02:34:40 UTC 2024","passed","Tue Dec 03 02:36:54 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Tue Dec 03 02:49:46 UTC 2024","skipped","Tue Dec 03 02:49:46 UTC 2024","","test_node_port","",""
"Test the deployment of the charm.","904290","test_build_and_deploy","tests.integration","Tue Dec 03 02:34:42 UTC 2024","broken","Tue Dec 03 02:49:46 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Tue Dec 03 02:59:53 UTC 2024","skipped","Tue Dec 03 02:59:53 UTC 2024","","test_exporter","",""
