"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test log rotation.","903052","test_log_rotation","tests.integration","Thu Aug 22 02:18:47 UTC 2024","broken","Thu Aug 22 02:33:50 UTC 2024","","test_log_rotation","",""
"Test the deployment of the charm.","903558","test_build_and_deploy","tests.integration","Thu Aug 22 02:18:21 UTC 2024","broken","Thu Aug 22 02:33:24 UTC 2024","","test_node_port","",""
"Test the database relation.","902441","test_database_relation","tests.integration","Thu Aug 22 02:18:02 UTC 2024","broken","Thu Aug 22 02:33:04 UTC 2024","","test_charm","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322825","test_upgrade_from_edge","tests.integration","Thu Aug 22 02:20:34 UTC 2024","failed","Thu Aug 22 02:25:57 UTC 2024","","test_upgrade","",""
"Test that exporter endpoint is functional.","1502618","test_exporter_endpoint","tests.integration","Thu Aug 22 02:18:29 UTC 2024","broken","Thu Aug 22 02:43:31 UTC 2024","","test_exporter","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Thu Aug 22 02:43:31 UTC 2024","skipped","Thu Aug 22 02:43:31 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Thu Aug 22 02:33:34 UTC 2024","skipped","Thu Aug 22 02:33:34 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Thu Aug 22 02:33:24 UTC 2024","skipped","Thu Aug 22 02:33:24 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Thu Aug 22 02:33:24 UTC 2024","skipped","Thu Aug 22 02:33:24 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Thu Aug 22 02:25:57 UTC 2024","skipped","Thu Aug 22 02:25:57 UTC 2024","","test_upgrade","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","114458","test_deploy_edge","tests.integration","Thu Aug 22 02:18:40 UTC 2024","passed","Thu Aug 22 02:20:34 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","904175","test_build_deploy_and_relate","tests.integration","Thu Aug 22 02:18:30 UTC 2024","broken","Thu Aug 22 02:33:34 UTC 2024","","test_tls","",""
"Test the database relation.","0","test_tls","tests.integration","Thu Aug 22 02:33:24 UTC 2024","skipped","Thu Aug 22 02:33:24 UTC 2024","","test_node_port","",""
