"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the database relation.","0","test_tls","tests.integration","Tue Aug 27 02:33:30 UTC 2024","skipped","Tue Aug 27 02:33:30 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Tue Aug 27 02:43:28 UTC 2024","skipped","Tue Aug 27 02:43:28 UTC 2024","","test_exporter","",""
"Test log rotation.","902893","test_log_rotation","tests.integration","Tue Aug 27 02:18:44 UTC 2024","broken","Tue Aug 27 02:33:47 UTC 2024","","test_log_rotation","",""
"Test that exporter endpoint is functional.","1502619","test_exporter_endpoint","tests.integration","Tue Aug 27 02:18:26 UTC 2024","broken","Tue Aug 27 02:43:28 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Tue Aug 27 02:33:43 UTC 2024","skipped","Tue Aug 27 02:33:43 UTC 2024","","test_tls","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322728","test_upgrade_from_edge","tests.integration","Tue Aug 27 02:20:37 UTC 2024","failed","Tue Aug 27 02:26:00 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Tue Aug 27 02:33:30 UTC 2024","skipped","Tue Aug 27 02:33:30 UTC 2024","","test_node_port","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","127522","test_deploy_edge","tests.integration","Tue Aug 27 02:18:29 UTC 2024","passed","Tue Aug 27 02:20:37 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","906007","test_build_deploy_and_relate","tests.integration","Tue Aug 27 02:18:37 UTC 2024","broken","Tue Aug 27 02:33:43 UTC 2024","","test_tls","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Tue Aug 27 02:26:00 UTC 2024","skipped","Tue Aug 27 02:26:00 UTC 2024","","test_upgrade","",""
"Test the database relation.","902555","test_database_relation","tests.integration","Tue Aug 27 02:18:30 UTC 2024","broken","Tue Aug 27 02:33:33 UTC 2024","","test_charm","",""
"Test the deployment of the charm.","903653","test_build_and_deploy","tests.integration","Tue Aug 27 02:18:26 UTC 2024","broken","Tue Aug 27 02:33:30 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Tue Aug 27 02:33:30 UTC 2024","skipped","Tue Aug 27 02:33:30 UTC 2024","","test_node_port","",""
