"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test encryption when backend database is using TLS.","904011","test_build_deploy_and_relate","tests.integration","Mon Sep 23 02:25:50 UTC 2024","broken","Mon Sep 23 02:40:54 UTC 2024","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Mon Sep 23 02:50:57 UTC 2024","skipped","Mon Sep 23 02:50:57 UTC 2024","","test_exporter","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","125090","test_deploy_edge","tests.integration","Mon Sep 23 02:26:21 UTC 2024","passed","Mon Sep 23 02:28:26 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Mon Sep 23 02:40:49 UTC 2024","skipped","Mon Sep 23 02:40:49 UTC 2024","","test_node_port","",""
"Test the database relation.","901956","test_database_relation","tests.integration","Mon Sep 23 02:25:48 UTC 2024","broken","Mon Sep 23 02:40:50 UTC 2024","","test_charm","",""
"Test the database relation.","0","test_tls","tests.integration","Mon Sep 23 02:40:49 UTC 2024","skipped","Mon Sep 23 02:40:49 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Mon Sep 23 02:40:54 UTC 2024","skipped","Mon Sep 23 02:40:54 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Mon Sep 23 02:40:49 UTC 2024","skipped","Mon Sep 23 02:40:49 UTC 2024","","test_node_port","",""
"Test the deployment of the charm.","903336","test_build_and_deploy","tests.integration","Mon Sep 23 02:25:46 UTC 2024","broken","Mon Sep 23 02:40:49 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1502809","test_exporter_endpoint","tests.integration","Mon Sep 23 02:25:54 UTC 2024","broken","Mon Sep 23 02:50:57 UTC 2024","","test_exporter","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Mon Sep 23 02:48:33 UTC 2024","skipped","Mon Sep 23 02:48:33 UTC 2024","","test_upgrade","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1206234","test_upgrade_from_edge","tests.integration","Mon Sep 23 02:28:26 UTC 2024","broken","Mon Sep 23 02:48:33 UTC 2024","","test_upgrade","",""
"Test log rotation.","902011","test_log_rotation","tests.integration","Mon Sep 23 02:25:57 UTC 2024","broken","Mon Sep 23 02:40:59 UTC 2024","","test_log_rotation","",""
