"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 02:11:42 UTC 2024","Wed Jun 19 02:11:43 UTC 2024","1333","tests.integration","test_node_port","","","","test_tls","Test the database relation."
"passed","Wed Jun 19 02:08:43 UTC 2024","Wed Jun 19 02:10:24 UTC 2024","101116","tests.integration","test_tls","","","","test_build_deploy_and_relate","Test encryption when backend database is using TLS."
"passed","Wed Jun 19 02:08:36 UTC 2024","Wed Jun 19 02:13:00 UTC 2024","264182","tests.integration","test_charm","","","","test_database_relation","Test the database relation."
"passed","Wed Jun 19 02:11:43 UTC 2024","Wed Jun 19 02:11:44 UTC 2024","430","tests.integration","test_node_port","","","","test_node_port_and_clusterip_setup","Test the nodeport."
"passed","Wed Jun 19 02:10:24 UTC 2024","Wed Jun 19 02:10:46 UTC 2024","21987","tests.integration","test_tls","","","","test_connected_encryption","Test encryption when backend database is using TLS."
"passed","Wed Jun 19 02:10:17 UTC 2024","Wed Jun 19 02:13:32 UTC 2024","195200","tests.integration","test_upgrade","","","","test_upgrade_from_edge","Upgrade mysqlrouter while ensuring continuous writes incrementing."
"passed","Wed Jun 19 02:11:44 UTC 2024","Wed Jun 19 02:11:47 UTC 2024","3112","tests.integration","test_node_port","","","","test_data_integrator","Test the nodeport."
"passed","Wed Jun 19 02:08:24 UTC 2024","Wed Jun 19 02:10:40 UTC 2024","136002","tests.integration","test_exporter","","","","test_exporter_endpoint","Test that exporter endpoint is functional."
"passed","Wed Jun 19 02:10:40 UTC 2024","Wed Jun 19 02:11:47 UTC 2024","66712","tests.integration","test_exporter","","","","test_exporter_endpoint_with_tls","Test that the exporter endpoint works when related with TLS"
"passed","Wed Jun 19 02:08:43 UTC 2024","Wed Jun 19 02:10:37 UTC 2024","114299","tests.integration","test_log_rotation","","","","test_log_rotation","Test log rotation."
"passed","Wed Jun 19 02:13:32 UTC 2024","Wed Jun 19 02:17:26 UTC 2024","233845","tests.integration","test_upgrade","","","","test_fail_and_rollback","Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    "
"passed","Wed Jun 19 02:08:24 UTC 2024","Wed Jun 19 02:11:42 UTC 2024","198209","tests.integration","test_node_port","","","","test_build_and_deploy","Test the deployment of the charm."
"passed","Wed Jun 19 02:08:09 UTC 2024","Wed Jun 19 02:10:17 UTC 2024","127330","tests.integration","test_upgrade","","","","test_deploy_edge","Simple test to ensure that mysql, mysqlrouter and application charms deploy."
