"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that exporter endpoint is functional.","149860","test_exporter_endpoint","tests.integration","Fri Jul 19 02:12:07 UTC 2024","passed","Fri Jul 19 02:14:37 UTC 2024","","test_exporter","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","327004","test_upgrade_from_edge","tests.integration","Fri Jul 19 02:11:57 UTC 2024","failed","Fri Jul 19 02:17:24 UTC 2024","","test_upgrade","",""
"Test the database relation.","303855","test_database_relation","tests.integration","Fri Jul 19 02:10:12 UTC 2024","passed","Fri Jul 19 02:15:16 UTC 2024","","test_charm","",""
"Test encryption when backend database is using TLS.","100471","test_build_deploy_and_relate","tests.integration","Fri Jul 19 02:09:59 UTC 2024","passed","Fri Jul 19 02:11:39 UTC 2024","","test_tls","",""
"Test the nodeport.","528","test_node_port_and_clusterip_setup","tests.integration","Fri Jul 19 02:13:46 UTC 2024","passed","Fri Jul 19 02:13:46 UTC 2024","","test_node_port","",""
"Test log rotation.","110422","test_log_rotation","tests.integration","Fri Jul 19 02:10:28 UTC 2024","passed","Fri Jul 19 02:12:18 UTC 2024","","test_log_rotation","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","125382","test_deploy_edge","tests.integration","Fri Jul 19 02:09:51 UTC 2024","passed","Fri Jul 19 02:11:57 UTC 2024","","test_upgrade","",""
"Test the nodeport.","3111","test_data_integrator","tests.integration","Fri Jul 19 02:13:46 UTC 2024","passed","Fri Jul 19 02:13:50 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","67614","test_exporter_endpoint_with_tls","tests.integration","Fri Jul 19 02:14:37 UTC 2024","passed","Fri Jul 19 02:15:45 UTC 2024","","test_exporter","",""
"Test the deployment of the charm.","228278","test_build_and_deploy","tests.integration","Fri Jul 19 02:09:56 UTC 2024","passed","Fri Jul 19 02:13:44 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Fri Jul 19 02:17:24 UTC 2024","skipped","Fri Jul 19 02:17:24 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","22140","test_connected_encryption","tests.integration","Fri Jul 19 02:11:39 UTC 2024","passed","Fri Jul 19 02:12:01 UTC 2024","","test_tls","",""
"Test the database relation.","1467","test_tls","tests.integration","Fri Jul 19 02:13:44 UTC 2024","passed","Fri Jul 19 02:13:46 UTC 2024","","test_node_port","",""
