"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 02:12:23 UTC 2024","Mon Jun 24 02:12:26 UTC 2024","3108","tests.integration","test_node_port","","","","test_data_integrator","Test the nodeport."
"failed","Mon Jun 24 02:11:45 UTC 2024","Mon Jun 24 02:12:23 UTC 2024","37933","tests.integration","test_exporter","","","","test_exporter_endpoint_with_tls","Test that the exporter endpoint works when related with TLS"
"passed","Mon Jun 24 02:10:42 UTC 2024","Mon Jun 24 02:13:48 UTC 2024","186000","tests.integration","test_upgrade","","","","test_upgrade_from_edge","Upgrade mysqlrouter while ensuring continuous writes incrementing."
"passed","Mon Jun 24 02:08:56 UTC 2024","Mon Jun 24 02:10:42 UTC 2024","105478","tests.integration","test_upgrade","","","","test_deploy_edge","Simple test to ensure that mysql, mysqlrouter and application charms deploy."
"passed","Mon Jun 24 02:12:21 UTC 2024","Mon Jun 24 02:12:23 UTC 2024","1345","tests.integration","test_node_port","","","","test_tls","Test the database relation."
"passed","Mon Jun 24 02:09:20 UTC 2024","Mon Jun 24 02:11:45 UTC 2024","144914","tests.integration","test_exporter","","","","test_exporter_endpoint","Test that exporter endpoint is functional."
"passed","Mon Jun 24 02:12:23 UTC 2024","Mon Jun 24 02:12:23 UTC 2024","404","tests.integration","test_node_port","","","","test_node_port_and_clusterip_setup","Test the nodeport."
"passed","Mon Jun 24 02:08:56 UTC 2024","Mon Jun 24 02:13:06 UTC 2024","250489","tests.integration","test_charm","","","","test_database_relation","Test the database relation."
"passed","Mon Jun 24 02:10:52 UTC 2024","Mon Jun 24 02:11:15 UTC 2024","22068","tests.integration","test_tls","","","","test_connected_encryption","Test encryption when backend database is using TLS."
"passed","Mon Jun 24 02:08:52 UTC 2024","Mon Jun 24 02:12:21 UTC 2024","209645","tests.integration","test_node_port","","","","test_build_and_deploy","Test the deployment of the charm."
"passed","Mon Jun 24 02:09:05 UTC 2024","Mon Jun 24 02:11:10 UTC 2024","124487","tests.integration","test_log_rotation","","","","test_log_rotation","Test log rotation."
"passed","Mon Jun 24 02:09:18 UTC 2024","Mon Jun 24 02:10:52 UTC 2024","94463","tests.integration","test_tls","","","","test_build_deploy_and_relate","Test encryption when backend database is using TLS."
"passed","Mon Jun 24 02:13:48 UTC 2024","Mon Jun 24 02:17:30 UTC 2024","222394","tests.integration","test_upgrade","","","","test_fail_and_rollback","Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    "
