"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the database relation.","903253","test_database_relation","tests.integration","Wed Dec 04 02:34:55 UTC 2024","broken","Wed Dec 04 02:49:58 UTC 2024","","test_charm","",""
"Test the deployment of the charm.","903995","test_build_and_deploy","tests.integration","Wed Dec 04 02:34:30 UTC 2024","broken","Wed Dec 04 02:49:34 UTC 2024","","test_node_port","",""
"Test the database relation.","0","test_tls","tests.integration","Wed Dec 04 02:49:34 UTC 2024","skipped","Wed Dec 04 02:49:34 UTC 2024","","test_node_port","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322827","test_upgrade_from_edge","tests.integration","Wed Dec 04 02:36:50 UTC 2024","failed","Wed Dec 04 02:42:12 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Wed Dec 04 02:50:12 UTC 2024","skipped","Wed Dec 04 02:50:12 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Wed Dec 04 02:49:34 UTC 2024","skipped","Wed Dec 04 02:49:34 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Wed Dec 04 02:42:12 UTC 2024","skipped","Wed Dec 04 02:42:12 UTC 2024","","test_upgrade","",""
"Test log rotation.","902296","test_log_rotation","tests.integration","Wed Dec 04 02:34:52 UTC 2024","broken","Wed Dec 04 02:49:54 UTC 2024","","test_log_rotation","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","127225","test_deploy_edge","tests.integration","Wed Dec 04 02:34:42 UTC 2024","passed","Wed Dec 04 02:36:50 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","904942","test_build_deploy_and_relate","tests.integration","Wed Dec 04 02:35:07 UTC 2024","broken","Wed Dec 04 02:50:12 UTC 2024","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Wed Dec 04 02:59:58 UTC 2024","skipped","Wed Dec 04 02:59:58 UTC 2024","","test_exporter","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Wed Dec 04 02:49:34 UTC 2024","skipped","Wed Dec 04 02:49:34 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1503543","test_exporter_endpoint","tests.integration","Wed Dec 04 02:34:54 UTC 2024","broken","Wed Dec 04 02:59:58 UTC 2024","","test_exporter","",""
