"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","160352","test_deploy_edge","tests.integration","Tue Jul 16 02:12:18 UTC 2024","passed","Tue Jul 16 02:14:58 UTC 2024","","test_upgrade","",""
"Test the nodeport.","3128","test_data_integrator","tests.integration","Tue Jul 16 02:15:23 UTC 2024","passed","Tue Jul 16 02:15:27 UTC 2024","","test_node_port","",""
"Test the nodeport.","677","test_node_port_and_clusterip_setup","tests.integration","Tue Jul 16 02:15:23 UTC 2024","passed","Tue Jul 16 02:15:23 UTC 2024","","test_node_port","",""
"Test log rotation.","101522","test_log_rotation","tests.integration","Tue Jul 16 02:11:55 UTC 2024","passed","Tue Jul 16 02:13:36 UTC 2024","","test_log_rotation","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Tue Jul 16 02:16:30 UTC 2024","skipped","Tue Jul 16 02:16:30 UTC 2024","","test_exporter","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Tue Jul 16 02:20:40 UTC 2024","skipped","Tue Jul 16 02:20:40 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","102491","test_build_deploy_and_relate","tests.integration","Tue Jul 16 02:12:06 UTC 2024","passed","Tue Jul 16 02:13:48 UTC 2024","","test_tls","",""
"Test that exporter endpoint is functional.","286932","test_exporter_endpoint","tests.integration","Tue Jul 16 02:11:43 UTC 2024","broken","Tue Jul 16 02:16:30 UTC 2024","","test_exporter","",""
"Test the database relation.","256793","test_database_relation","tests.integration","Tue Jul 16 02:12:09 UTC 2024","passed","Tue Jul 16 02:16:26 UTC 2024","","test_charm","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","341963","test_upgrade_from_edge","tests.integration","Tue Jul 16 02:14:58 UTC 2024","failed","Tue Jul 16 02:20:40 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","221186","test_build_and_deploy","tests.integration","Tue Jul 16 02:11:40 UTC 2024","passed","Tue Jul 16 02:15:21 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","22116","test_connected_encryption","tests.integration","Tue Jul 16 02:13:48 UTC 2024","passed","Tue Jul 16 02:14:11 UTC 2024","","test_tls","",""
"Test the database relation.","1509","test_tls","tests.integration","Tue Jul 16 02:15:21 UTC 2024","passed","Tue Jul 16 02:15:23 UTC 2024","","test_node_port","",""
