"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Mon Nov 25 02:57:50 UTC 2024","skipped","Mon Nov 25 02:57:50 UTC 2024","","test_exporter","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Mon Nov 25 02:47:45 UTC 2024","skipped","Mon Nov 25 02:47:45 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Mon Nov 25 02:47:26 UTC 2024","skipped","Mon Nov 25 02:47:26 UTC 2024","","test_tls","",""
"Test the database relation.","902953","test_database_relation","tests.integration","Mon Nov 25 02:32:36 UTC 2024","broken","Mon Nov 25 02:47:39 UTC 2024","","test_charm","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Mon Nov 25 02:54:22 UTC 2024","skipped","Mon Nov 25 02:54:22 UTC 2024","","test_upgrade","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","127402","test_deploy_edge","tests.integration","Mon Nov 25 02:32:10 UTC 2024","passed","Mon Nov 25 02:34:17 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","904900","test_build_and_deploy","tests.integration","Mon Nov 25 02:32:40 UTC 2024","broken","Mon Nov 25 02:47:45 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","904724","test_build_deploy_and_relate","tests.integration","Mon Nov 25 02:32:21 UTC 2024","broken","Mon Nov 25 02:47:26 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Mon Nov 25 02:47:45 UTC 2024","skipped","Mon Nov 25 02:47:45 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1503911","test_exporter_endpoint","tests.integration","Mon Nov 25 02:32:46 UTC 2024","broken","Mon Nov 25 02:57:50 UTC 2024","","test_exporter","",""
"Test the database relation.","0","test_tls","tests.integration","Mon Nov 25 02:47:45 UTC 2024","skipped","Mon Nov 25 02:47:45 UTC 2024","","test_node_port","",""
"Test log rotation.","903150","test_log_rotation","tests.integration","Mon Nov 25 02:32:43 UTC 2024","broken","Mon Nov 25 02:47:46 UTC 2024","","test_log_rotation","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1205192","test_upgrade_from_edge","tests.integration","Mon Nov 25 02:34:17 UTC 2024","broken","Mon Nov 25 02:54:22 UTC 2024","","test_upgrade","",""
