"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test log rotation.","902442","test_log_rotation","tests.integration","Sat Dec 14 02:30:25 UTC 2024","broken","Sat Dec 14 02:45:27 UTC 2024","","test_log_rotation","",""
"Test the database relation.","0","test_tls","tests.integration","Sat Dec 14 02:45:12 UTC 2024","skipped","Sat Dec 14 02:45:12 UTC 2024","","test_node_port","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","117793","test_deploy_edge","tests.integration","Sat Dec 14 02:30:20 UTC 2024","passed","Sat Dec 14 02:32:17 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sat Dec 14 02:45:57 UTC 2024","skipped","Sat Dec 14 02:45:57 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sat Dec 14 02:45:12 UTC 2024","skipped","Sat Dec 14 02:45:12 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sat Dec 14 02:45:12 UTC 2024","skipped","Sat Dec 14 02:45:12 UTC 2024","","test_node_port","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sat Dec 14 02:55:14 UTC 2024","skipped","Sat Dec 14 02:55:14 UTC 2024","","test_exporter","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sat Dec 14 02:37:40 UTC 2024","skipped","Sat Dec 14 02:37:40 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","904056","test_build_and_deploy","tests.integration","Sat Dec 14 02:30:08 UTC 2024","broken","Sat Dec 14 02:45:12 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","906195","test_build_deploy_and_relate","tests.integration","Sat Dec 14 02:30:50 UTC 2024","broken","Sat Dec 14 02:45:57 UTC 2024","","test_tls","",""
"Test the database relation.","902358","test_database_relation","tests.integration","Sat Dec 14 02:30:04 UTC 2024","broken","Sat Dec 14 02:45:06 UTC 2024","","test_charm","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322755","test_upgrade_from_edge","tests.integration","Sat Dec 14 02:32:17 UTC 2024","failed","Sat Dec 14 02:37:40 UTC 2024","","test_upgrade","",""
"Test that exporter endpoint is functional.","1503014","test_exporter_endpoint","tests.integration","Sat Dec 14 02:30:11 UTC 2024","broken","Sat Dec 14 02:55:14 UTC 2024","","test_exporter","",""
