"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Thu Oct 24 02:41:26 UTC 2024","skipped","Thu Oct 24 02:41:26 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","905446","test_build_deploy_and_relate","tests.integration","Thu Oct 24 02:26:43 UTC 2024","broken","Thu Oct 24 02:41:49 UTC 2024","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Thu Oct 24 02:51:25 UTC 2024","skipped","Thu Oct 24 02:51:25 UTC 2024","","test_exporter","",""
"Test log rotation.","902513","test_log_rotation","tests.integration","Thu Oct 24 02:26:13 UTC 2024","broken","Thu Oct 24 02:41:16 UTC 2024","","test_log_rotation","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Thu Oct 24 02:41:49 UTC 2024","skipped","Thu Oct 24 02:41:49 UTC 2024","","test_tls","",""
"Test that exporter endpoint is functional.","1502977","test_exporter_endpoint","tests.integration","Thu Oct 24 02:26:22 UTC 2024","broken","Thu Oct 24 02:51:25 UTC 2024","","test_exporter","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Thu Oct 24 02:41:26 UTC 2024","skipped","Thu Oct 24 02:41:26 UTC 2024","","test_node_port","",""
"Test the deployment of the charm.","904096","test_build_and_deploy","tests.integration","Thu Oct 24 02:26:22 UTC 2024","broken","Thu Oct 24 02:41:26 UTC 2024","","test_node_port","",""
"Test the database relation.","0","test_tls","tests.integration","Thu Oct 24 02:41:26 UTC 2024","skipped","Thu Oct 24 02:41:26 UTC 2024","","test_node_port","",""
"Test the database relation.","902878","test_database_relation","tests.integration","Thu Oct 24 02:26:35 UTC 2024","broken","Thu Oct 24 02:41:37 UTC 2024","","test_charm","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","128852","test_deploy_edge","tests.integration","Thu Oct 24 02:26:22 UTC 2024","passed","Thu Oct 24 02:28:31 UTC 2024","","test_upgrade","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Thu Oct 24 02:33:55 UTC 2024","skipped","Thu Oct 24 02:33:55 UTC 2024","","test_upgrade","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","323394","test_upgrade_from_edge","tests.integration","Thu Oct 24 02:28:31 UTC 2024","failed","Thu Oct 24 02:33:55 UTC 2024","","test_upgrade","",""
