"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Sat Aug 31 02:41:30 UTC 2024","skipped","Sat Aug 31 02:41:30 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sat Aug 31 02:34:20 UTC 2024","skipped","Sat Aug 31 02:34:20 UTC 2024","","test_tls","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","121268","test_deploy_edge","tests.integration","Sat Aug 31 02:19:23 UTC 2024","passed","Sat Aug 31 02:21:24 UTC 2024","","test_upgrade","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sat Aug 31 02:34:13 UTC 2024","skipped","Sat Aug 31 02:34:13 UTC 2024","","test_node_port","",""
"Test the deployment of the charm.","906122","test_build_and_deploy","tests.integration","Sat Aug 31 02:19:07 UTC 2024","broken","Sat Aug 31 02:34:13 UTC 2024","","test_node_port","",""
"Test log rotation.","904350","test_log_rotation","tests.integration","Sat Aug 31 02:19:24 UTC 2024","broken","Sat Aug 31 02:34:28 UTC 2024","","test_log_rotation","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sat Aug 31 02:44:25 UTC 2024","skipped","Sat Aug 31 02:44:25 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","903784","test_build_deploy_and_relate","tests.integration","Sat Aug 31 02:19:16 UTC 2024","broken","Sat Aug 31 02:34:20 UTC 2024","","test_tls","",""
"Test the database relation.","902385","test_database_relation","tests.integration","Sat Aug 31 02:21:21 UTC 2024","broken","Sat Aug 31 02:36:23 UTC 2024","","test_charm","",""
"Test that exporter endpoint is functional.","1502694","test_exporter_endpoint","tests.integration","Sat Aug 31 02:19:23 UTC 2024","broken","Sat Aug 31 02:44:25 UTC 2024","","test_exporter","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sat Aug 31 02:34:13 UTC 2024","skipped","Sat Aug 31 02:34:13 UTC 2024","","test_node_port","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","1205204","test_upgrade_from_edge","tests.integration","Sat Aug 31 02:21:24 UTC 2024","broken","Sat Aug 31 02:41:30 UTC 2024","","test_upgrade","",""
"Test the database relation.","0","test_tls","tests.integration","Sat Aug 31 02:34:13 UTC 2024","skipped","Sat Aug 31 02:34:13 UTC 2024","","test_node_port","",""
