"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that exporter endpoint is functional.","1502961","test_exporter_endpoint","tests.integration","Wed Oct 09 02:26:00 UTC 2024","broken","Wed Oct 09 02:51:03 UTC 2024","","test_exporter","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","322683","test_upgrade_from_edge","tests.integration","Wed Oct 09 02:28:17 UTC 2024","failed","Wed Oct 09 02:33:40 UTC 2024","","test_upgrade","",""
"Test the deployment of the charm.","904674","test_build_and_deploy","tests.integration","Wed Oct 09 02:26:21 UTC 2024","broken","Wed Oct 09 02:41:25 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Wed Oct 09 02:41:25 UTC 2024","skipped","Wed Oct 09 02:41:25 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Wed Oct 09 02:41:25 UTC 2024","skipped","Wed Oct 09 02:41:25 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","0","test_fail_and_rollback","tests.integration","Wed Oct 09 02:33:40 UTC 2024","skipped","Wed Oct 09 02:33:40 UTC 2024","","test_upgrade","",""
"Test the database relation.","902523","test_database_relation","tests.integration","Wed Oct 09 02:26:02 UTC 2024","broken","Wed Oct 09 02:41:04 UTC 2024","","test_charm","",""
"Test encryption when backend database is using TLS.","904239","test_build_deploy_and_relate","tests.integration","Wed Oct 09 02:25:59 UTC 2024","broken","Wed Oct 09 02:41:03 UTC 2024","","test_tls","",""
"Test the database relation.","0","test_tls","tests.integration","Wed Oct 09 02:41:25 UTC 2024","skipped","Wed Oct 09 02:41:25 UTC 2024","","test_node_port","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","129088","test_deploy_edge","tests.integration","Wed Oct 09 02:26:08 UTC 2024","passed","Wed Oct 09 02:28:17 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Wed Oct 09 02:41:03 UTC 2024","skipped","Wed Oct 09 02:41:03 UTC 2024","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Wed Oct 09 02:51:03 UTC 2024","skipped","Wed Oct 09 02:51:03 UTC 2024","","test_exporter","",""
"Test log rotation.","902343","test_log_rotation","tests.integration","Wed Oct 09 02:25:48 UTC 2024","broken","Wed Oct 09 02:40:51 UTC 2024","","test_log_rotation","",""
